loan_id,customer_id,has_late_payment,principal_amount,interest_rate,term_months,loan_type,loan_product,monthly_payment_est,annual_income,employment_status,industry_name,debt_to_income,payment_to_income,borrower_age_years,client_tenure_years,accounts_count,cards_count,disbursement_date,payments_total
1,6,0,9359671.45,13.4203,120,MORTGAGE,Mortgage,182671.93,2154655.92,Employed,Construction,4.3439,1.0174,24.3,0.07,1,0,2025-09-11,3
4,22,0,1088267.74,24.0639,12,PERSONAL,Personal Loan,112512.28,7672814.40,Employed,Public Sector,0.1418,0.1760,63.7,0.03,1,1,2025-11-25,1
5,23,0,369542.04,17.2866,60,PERSONAL,Personal Loan,11482.47,2618852.76,Employed,Energy,0.1411,0.0526,33.8,0.02,1,1,2025-08-26,4
6,27,0,6715317.59,10.9088,120,MORTGAGE,Mortgage,117007.69,1285964.04,Employed,Healthcare,5.2220,1.0919,53.8,0.08,1,1,2025-04-13,8
7,28,0,296854.98,18.0720,12,PERSONAL,Personal Loan,29208.55,2732976.60,Self-employed,Retail,0.1086,0.1282,45.3,0.03,1,0,2025-07-23,5
8,28,0,4569604.06,14.6587,180,MORTGAGE,Mortgage,81207.07,2732976.60,Self-employed,Retail,1.6720,0.3566,45.3,0.07,1,0,2025-08-05,4
9,32,1,783818.72,24.4691,36,PERSONAL,Personal Loan,37755.52,1716160.08,Employed,Professional Services,0.4567,0.2640,60.0,0.42,2,1,2025-06-09,6
10,35,1,8438880.77,10.8302,120,MORTGAGE,Mortgage,146486.31,1576653.00,Employed,Healthcare,5.3524,1.1149,57.3,0.07,2,1,2025-03-04,9
11,38,1,1003829.97,22.9905,24,PERSONAL,Personal Loan,61058.38,1037422.08,Self-employed,Transport,0.9676,0.7063,47.8,0.02,1,1,2025-07-01,6
12,41,0,4301970.04,13.1063,300,MORTGAGE,Mortgage,61325.66,5759075.16,Employed,Finance,0.7470,0.1278,52.2,0.10,1,0,2025-11-19,1
13,43,1,7649012.40,13.9951,300,MORTGAGE,Mortgage,114703.95,1749436.44,Employed,Energy,4.3723,0.7868,58.9,0.10,1,1,2025-06-01,5
14,44,0,9022266.23,11.2189,180,MORTGAGE,Mortgage,134473.62,4230955.92,Self-employed,Construction,2.1324,0.3814,32.4,0.08,1,1,2025-09-16,3
16,48,0,793830.36,17.3960,24,PERSONAL,Personal Loan,44584.16,5695265.52,Employed,Finance,0.1394,0.0939,32.3,0.06,1,1,2025-05-17,7
17,49,0,9447921.66,10.1978,120,MORTGAGE,Mortgage,159022.69,2012141.64,Employed,Manufacturing,4.6955,0.9484,48.8,0.05,1,1,2025-04-25,8
19,63,0,692242.25,23.2536,48,PERSONAL,Personal Loan,27835.98,456303.24,Employed,Construction,1.5171,0.7320,61.0,0.02,1,1,2025-09-18,3
20,63,0,5615934.67,10.5308,120,MORTGAGE,Mortgage,96083.03,456303.24,Employed,Construction,12.3075,2.5268,61.0,0.09,1,1,2025-10-16,2
21,71,1,1046062.51,21.5306,12,PERSONAL,Personal Loan,105940.50,1484720.88,Self-employed,Healthcare,0.7046,0.8562,36.1,0.08,1,1,2025-06-06,6
22,72,1,337548.01,22.4381,12,PERSONAL,Personal Loan,34440.61,1688429.88,Employed,Energy,0.1999,0.2448,36.7,0.03,1,1,2025-06-30,6
23,77,1,5209031.53,13.3685,120,MORTGAGE,Mortgage,101439.38,2185889.28,Employed,Healthcare,2.3830,0.5569,32.5,0.09,1,1,2025-05-12,7
25,81,0,1110758.07,21.5472,24,PERSONAL,Personal Loan,66226.36,2029764.60,Employed,Hospitality,0.5472,0.3915,43.1,0.42,2,1,2025-06-05,6
26,81,0,6813185.73,11.3923,180,MORTGAGE,Mortgage,102532.58,2029764.60,Employed,Hospitality,3.3566,0.6062,42.7,0.08,1,1,2025-02-01,10
27,84,0,413280.94,24.7397,36,PERSONAL,Personal Loan,20000.40,1788670.80,Self-employed,Hospitality,0.2311,0.1342,33.8,0.18,1,1,2025-05-14,7
